Date,Station Name,Livestock Count,Feed Cost,Milk Production (L),Revenue,Expenses,Region
23/02/2024,Omega Farm,132,3147,4070,12911,8696,East
10-02-2024,Alpha Farm,187,3277,5421,11024,9375,West
22/02/2024,Delta Farm,175,3295,5745,15696,8394,East
29-01-2024,Gamma Farm,155,3845,4484,11135,9593,East
14/01/2024,Beta Farm,188,3942,4455,17044,6920,South
26-02-2024,Delta Farm,176,3327,4149,12511,9218,South
07/02/2024,Delta Farm,155,3605,4029,15185,7876,North
07-01-2024,Gamma Farm,146,,5838,16915,6538,South
03/02/2024,Omega Farm,138,3909,5332,13796,9933,East
20-02-2024,Beta Farm,151,3604,5709,14565,7670,South
05/01/2024,Omega Farm,140,3641,4729,14757,9598,West
11-02-2024,Beta Farm,142,3383,5263,13374,9823,South
27/02/2024,Beta Farm,133,3761,4892,15872,9393,East
22-01-2024,Gamma Farm,163,3620,,17328,8858,West
16/02/2024,Omega Farm,133,3921,5103,13284,8313,West
19-01-2024,Alpha Farm,131,3222,5650,16824,7073,North
15/01/2024,Delta Farm,180,,4033,13702,6759,South
04-01-2024,Alpha Farm,192,3406,4996,11573,8719,West
09/02/2024,Omega Farm,,3360,4928,13215,6839,North
18-01-2024,Alpha Farm,123,2911,4428,17299,9512,South
24/01/2024,Delta Farm,169,3153,5957,12216,7524,East
10-01-2024,Beta Farm,156,4018,4652,17005,7204,East
12/01/2024,Omega Farm,192,3364,5978,15163,9537,West
06-01-2024,Alpha Farm,147,3892,5359,15500,7427,North
28/01/2024,Delta Farm,146,2937,5937,13463,9323,West
22-01-2024,Alpha Farm,124,3453,,12523,7451,North
11/01/2024,Gamma Farm,161,4073,5452,15660,8881,East
13-02-2024,Delta Farm,129,3995,5156,14813,7867,West
13/01/2024,Omega Farm,174,2875,5620,15537,8959,South
20-01-2024,Gamma Farm,143,4023,4115,16273,8054,West
11/01/2024,Beta Farm,152,3265,4516,17401,8637,South
22-02-2024,Omega Farm,178,3616,5545,11415,9064,North
11/02/2024,Beta Farm,134,3681,5895,13143,7274,South
30-01-2024,Alpha Farm,,4085,5699,16505,8879,South
25/01/2024,Beta Farm,178,3869,5324,11921,9346,South
29-02-2024,Gamma Farm,184,3351,5910,17363,9199,South
29/02/2024,Beta Farm,148,3883,4808,17153,6758,East
10-01-2024,Alpha Farm,,3663,4878,12853,7516,South
18/02/2024,Alpha Farm,163,3529,5201,15236,7607,North
